"time","value"
210.260438948289,0.99
280.751921661901,0.98
333.076913814607,0.97
376.492771874854,0.96
414.4437520656,0.95
448.648363227646,0.94
480.106111480444,0.93
509.457211039406,0.92
537.140154548905,0.91
563.470526573397,0.9
588.684325842728,0.89
612.963531038936,0.88
636.45204996203,0.87
659.266124976063,0.86
681.501376945587,0.85
703.237723807023,0.84
724.542907183194,0.83
745.475079546412,0.82
766.084740654133,0.81
786.41621292638,0.8
806.508783587357,0.79
826.397601683332,0.78
846.114391952723,0.77
865.688029938505,0.76
885.145010663741,0.75
904.5098347588,0.74
923.805329941727,0.73
943.052921439713,0.72
962.272861790113,0.71
981.484428132281,0.7
1000.70609336288,0.69
1019.95567621593,0.68
1039.2504743311,0.67
1058.60738360933,0.66
1078.04300656532,0.65
1097.57375193059,0.64
1117.21592740707,0.63
1136.98582719763,0.62
1156.89981572908,0.61
1176.97440882286,0.6
1197.22635344995,0.59
1217.67270712137,0.58
1238.33091791049,0.57
1259.21890607383,0.56
1280.35514823072,0.55
1301.75876507817,0.54
1323.44961365524,0.53
1345.44838523036,0.52
1367.77670996842,0.51
1390.45726964187,0.5
1413.51391978635,0.49
1436.97182286849,0.48
1460.85759423825,0.47
1485.199462885,0.46
1510.02744931483,0.45
1535.37356322585,0.44
1561.27202409049,0.43
1587.75950827584,0.42
1614.87542696391,0.41
1642.66223989831,0.4
1671.16581091469,0.39
1700.43581234885,0.38
1730.5261868107,0.37
1761.49567653127,0.36
1793.40843261876,0.35
1826.33471921204,0.34
1860.35173084172,0.33
1895.54454549713,0.32
1932.00724120988,0.31
1969.84421075233,0.3
2009.17171778418,0.29
2050.11974911053,0.28
2092.83423253457,0.27
2137.479709345,0.26
2184.24257653575,0.25
2233.33504892897,0.24
2285.00003910578,0.23
2339.51721878397,0.22
2397.21061697591,0.21
2458.45823995102,0.2
2523.70438425532,0.19
2593.47558589927,0.18
2668.40155294088,0.17
2749.24304150452,0.16
2836.92958532981,0.15
2932.61149853579,0.14
3037.7330371004,0.13
3154.13775991369,0.12
3284.22438618904,0.11
3431.18464501993,0.1
3599.37979375904,0.09
3794.96329977434,0.08
4026.96689850133,0.07
4309.32457836458,0.0599999999999999
4664.97904495835,0.0499999999999999
5135.21523686142,0.0399999999999999
5804.57947852868,0.03
6886.40493448955,0.02
9195.12690247651,0.01
