"time","value"
439.999787342778,0.99
622.599405625331,0.98
764.400528762676,0.97
885.540808130059,0.96
993.768538916427,0.95
1093.03793541442,0.94
1185.68929929263,0.93
1273.24356628267,0.92
1356.75570997806,0.91
1436.9937361902,0.9
1514.53812826113,0.89
1589.84108251039,0.88
1663.26377041223,0.87
1735.10083254382,0.86
1805.59707480559,0.85
1874.95920239495,0.84
1943.36428466352,0.83
2010.96600169239,0.82
2077.8993467648,0.81
2144.28422989802,0.8
2210.22828389423,0.79
2275.82908167599,0.78
2341.17591239934,0.77
2406.35122244342,0.76
2471.43179886008,0.75
2536.48975287509,0.74
2601.59334679306,0.73
2666.80769737015,0.72
2732.19538118929,0.71
2797.81696199791,0.7
2863.73145579991,0.69
2929.99674634746,0.68
2996.66996128842,0.67
3063.80781739834,0.66
3131.4669419264,0.65
3199.70417601096,0.64
3268.57686530141,0.63
3338.14314230299,0.62
3408.46220450332,0.61
3479.59459201154,0.6
3551.60246822507,0.59
3624.54990691788,0.58
3698.50318910852,0.57
3773.53111310991,0.56
3849.70532128244,0.55
3927.10064720781,0.54
4005.79548727567,0.53
4085.87220103467,0.52
4167.41754511146,0.51
4250.52314605799,0.5
4335.28601816439,0.49
4421.80913309025,0.48
4510.20204914704,0.47
4600.58160923896,0.46
4693.07271787652,0.45
4787.80920936545,0.44
4884.93482130254,0.43
4984.60428995384,0.42
5086.98458704578,0.41
5192.25632108201,0.4
5300.6153306627,0.39
5412.27450261773,0.38
5527.46585432026,0.37
5646.44292763919,0.36
5769.48355203149,0.35
5896.89304680879,0.34
6029.00794834504,0.33
6166.20036786628,0.32
6308.88311073434,0.31
6457.51572049702,0.3
6612.61165272536,0.29
6774.74683794832,0.28
6944.56996418966,0.27
7122.81490382366,0.26
7310.31583534204,0.25
7508.02578055479,0.24
7717.03950971326,0.23
7938.62208750301,0.22
8174.24478133196,0.21
8425.63068984278,0.2
8694.81336682843,0.19
8984.21305977819,0.18
9296.73718805778,0.17
9635.91473995654,0.16
10006.0790235385,0.15
10412.6207977705,0.14
10862.34627157,0.13
11363.9955678127,0.12
11929.0143166734,0.11
12572.7388785106,0.1
13316.285962391,0.09
14189.7021855155,0.08
15237.505327874,0.07
16529.1125127553,0.0599999999999999
18180.2364511099,0.0499999999999999
20402.161988814,0.0399999999999999
23635.4454704779,0.03
29018.5741456474,0.02
41061.2630617019,0.01
